ID,Actual Electricity energy,Predicted Electricity energy,Actual Gas energy,Predicted Gas energy
Test_0,0.2628225823545072,0.2621937255859375,0.08950017628944722,0.08935381317138671
Test_1,0.23078548558035766,0.2307088623046875,0.05401532509003407,0.05484483337402344
Test_2,0.3025608179696404,0.30137319946289065,0.0,-1.1021860875189304e-05
Test_3,0.36488641272590605,0.3631907958984375,0.0,-0.00018487821519374848
Test_4,0.3762176479916827,0.38700137329101564,0.0,0.0007963159084320068
Test_5,0.2940465556647896,0.2941376037597656,0.0,-2.396567352116108e-05
Test_6,0.24537769612495414,0.24637150573730468,0.07219992192483796,0.07083509063720703
Test_7,0.29545806175172046,0.30168524169921873,0.0,5.584718286991119e-05
Test_8,0.2681895008199342,0.26644329833984376,0.10893564524683805,0.10512877655029297
Test_9,0.2968885795610793,0.29940478515625,0.06501605903665619,0.06345661163330078
Test_10,0.2791801028676563,0.27957879638671873,0.0,-5.143267661333084e-05
Test_11,0.24569334238340532,0.24544866943359375,0.08404130274328407,0.08401619720458985
Test_12,0.23499119439668817,0.23613287353515625,0.05761319077447462,0.059435134887695314
Test_13,0.23882785003332546,0.2399136505126953,0.0584521067150042,0.05911227035522461
Test_14,0.3048615114363832,0.30651852416992187,0.0,1.1291325092315675e-05
Test_15,0.2966557542346858,0.3026511535644531,0.0,-0.00011024475842714309
Test_16,0.2723007986673504,0.27300631713867185,0.07437414237596884,0.07458708190917969
Test_17,0.2609180557298976,0.25998922729492185,0.06279880764066953,0.06421163940429687
Test_18,0.28798246346201534,0.2907195739746094,0.14162806155235255,0.13256501770019533
Test_19,0.3127248341891036,0.3138153076171875,0.0,-2.791159087792039e-06
Test_20,0.28963882853247525,0.29025677490234375,0.0,-3.9652615785598754e-05
Test_21,0.2753510754286964,0.2790700988769531,0.06421829591545893,0.0624431037902832
Test_22,0.2530183467667423,0.2560224304199219,0.05110154673654903,0.05211962127685547
Test_23,0.3246179645059806,0.324316650390625,0.07505222646843553,0.07231779479980469
Test_24,0.23996792399789593,0.24057693481445314,0.05119956721431823,0.05204118728637695
Test_25,0.3837594558274489,0.3906434326171875,0.0,3.381021320819855e-05
Test_26,0.38953100393031725,0.39593820190429685,0.0,-0.000806906521320343
Test_27,0.258926915919143,0.25681802368164064,0.05402388100110778,0.05363531112670898
Test_28,0.26534512605955324,0.26756820678710935,0.06737874147474975,0.06567598724365234
Test_29,0.2601467798504981,0.25835577392578124,0.06046645879485784,0.060909950256347656
Test_30,0.2626074120025047,0.2619267578125,0.052773288486616915,0.05351757049560547
Test_31,0.23236095406287002,0.23318502807617186,0.05739722648813652,0.060725635528564456
Test_32,0.29873155307239296,0.30195611572265624,0.0,-9.883680194616318e-05
Test_33,0.28500058540507367,0.28496029663085937,0.0,-7.000205665826797e-05
Test_34,0.29220246376011866,0.2943908386230469,0.0,-4.416001588106155e-05
Test_35,0.3093404970486095,0.30940493774414063,0.06267700330339393,0.06256639099121093
Test_36,0.26256894967278044,0.2632535705566406,0.05315936233589618,0.05368896484375
Test_37,0.27967377945435906,0.2788233642578125,0.056489305190474556,0.055351814270019534
Test_38,0.2908865911717929,0.291232177734375,0.05725573099625407,0.05943634796142578
Test_39,0.3662084860165503,0.3701080322265625,0.0,-4.7918461263179776e-05
Test_40,0.25612769100689425,0.25601763916015624,0.08791231036832911,0.08718841552734374
Test_41,0.304651454331543,0.3098482360839844,0.0,4.614322446286679e-06
Test_42,0.30520635399475204,0.3061152648925781,0.0,-2.5290140882134436e-05
Test_43,0.2908701468839936,0.2921482238769531,0.0,1.0519533418118954e-05
Test_44,0.3288523161912464,0.3246572265625,0.0,0.0002534777224063873
Test_45,0.3573650513373798,0.3556688842773438,0.0,-5.440298467874527e-05
Test_46,0.2586840284779516,0.26101376342773436,0.049703906200892746,0.04981330490112305
Test_47,0.35563035789105896,0.358874267578125,0.0,-2.6954084634780883e-05
Test_48,0.2943344903525721,0.2932953186035156,0.06276964606281003,0.060553855895996093
Test_49,0.34478207480430906,0.3439517517089844,0.0,4.2331304401159286e-05
Test_50,0.29394685512004687,0.29573898315429686,0.0,2.4951986968517302e-05
Test_51,0.24545582665415672,0.24703900146484375,0.07846651492207656,0.07803458404541015
Test_52,0.2660647412074654,0.2661724548339844,0.09027416259559493,0.08820934295654297
Test_53,0.307402874246748,0.3081500549316406,0.0,-7.492668181657791e-05
Test_54,0.36447728707690447,0.36231866455078127,0.0,7.323895394802094e-05
Test_55,0.27483423759609354,0.2753228454589844,0.053642154643380915,0.0537708740234375
Test_56,0.35351462488894175,0.3567227783203125,0.0,0.0003956550657749176
Test_57,0.32767238244211583,0.32147592163085936,0.0,0.00016637687385082244
Test_58,0.34037765626701816,0.34745050048828124,0.0,-1.0009498335421086e-05
Test_59,0.23933870542054914,0.24076119995117187,0.05572583061573593,0.055754135131835934
Test_60,0.3241943704356097,0.33268255615234377,0.06398477266711156,0.06818130493164062
Test_61,0.24446916057154247,0.24533192443847657,0.04996602915011639,0.05133212280273437
Test_62,0.23957200511777774,0.23893463134765625,0.05302804074503735,0.05385440444946289
Test_63,0.32537095050023274,0.32621237182617185,0.0,1.8329627811908722e-05
Test_64,0.25355405498906347,0.2527852325439453,0.09004616822573598,0.0871336669921875
Test_65,0.4279407980498364,0.42174960327148436,0.0,0.0008819594979286194
Test_66,0.2601998497538083,0.26056964111328124,0.05854389709050364,0.05761835861206055
Test_67,0.2729460546856975,0.27230172729492186,0.08394604471319199,0.08471826934814453
Test_68,0.2697637616043216,0.26867230224609373,0.08974735394926275,0.08887518310546876
Test_69,0.2819761391939873,0.28351937866210936,0.0,1.1628879234194756e-05
Test_70,0.357378855346985,0.3613272705078125,0.0,-1.1005216278135777e-05
Test_71,0.26986088601253866,0.2695309143066406,0.05921977971421732,0.059404861450195315
